,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311
0,1.0,1.0,0.0,0.0,0.0,0.0,6.333333333333333,3.3333333333333335,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,5.0,8.666666666666666,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,4.666666666666667,0.0,3.3333333333333335,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-4.0,1464.3333333333333,0.0,1.0,0.0,0.0,0.0,3.6666666666666665,2.0,3.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,7.666666666666667,1.3333333333333333,0.0,0.0,0.3333333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1082.3333333333333,0.0,0.0,1.0,0.0,0.0,4.0,3.5,2.5,1.0,5.0,3.5,3.5,7.0,1.0,13.5,1.5,0.0,0.5,0.5,7.5,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,1440.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,579.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,0.5,0.0,5.0,4.0,1.0,3.0,3.5,16.0,1.5,1.0,0.0,0.5,5.5,0.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,1650.5,1.0,1.0,0.0,0.0,0.0,0.0,6.333333333333333,3.3333333333333335,2.6666666666666665,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,5.0,8.666666666666666,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,4.666666666666667,0.0,3.3333333333333335,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,-4.0,1464.3333333333333,0.0,1.0,0.0,0.0,0.0,3.6666666666666665,2.0,3.0,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,7.666666666666667,1.3333333333333333,0.0,0.0,0.3333333333333333,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1082.3333333333333,0.0,0.0,1.0,0.0,0.0,4.0,3.5,2.5,1.0,5.0,3.5,3.5,7.0,1.0,13.5,1.5,0.0,0.5,0.5,7.5,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,1440.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,579.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,0.5,0.0,5.0,4.0,1.0,3.0,3.5,16.0,1.5,1.0,0.0,0.5,5.5,0.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,1650.5
1,1.0,0.5,0.0,0.0,0.0,0.0,3.75,1.0,2.5,0.5,0.5,0.0,0.0,1.0,2.25,3.5,0.5,0.25,0.0,0.25,1.5,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,1174.5,0.0,0.75,0.0,0.0,0.0,1.875,0.5,3.0,0.75,0.5,0.5,0.25,2.0,2.625,3.75,1.5,0.875,0.25,0.125,3.0,0.0,2.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,-6.625,1194.5,0.0,0.0,1.0,0.0,0.0,8.333333333333334,5.0,2.0,0.6666666666666666,4.0,2.3333333333333335,1.0,6.0,0.0,14.333333333333334,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,4.333333333333333,0.0,2.3333333333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.666666666666666,1438.3333333333333,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1472.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,3.0,0.5,3.5,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,743.0,1.0,0.5,0.0,0.0,0.0,0.0,3.75,1.0,2.5,0.5,0.5,0.0,0.0,1.0,2.25,3.5,0.5,0.25,0.0,0.25,1.5,0.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-9.75,1174.5,0.0,0.75,0.0,0.0,0.0,1.875,0.5,3.0,0.75,0.5,0.5,0.25,2.0,2.625,3.75,1.5,0.875,0.25,0.125,3.0,0.0,2.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,-6.625,1194.5,0.0,0.0,1.0,0.0,0.0,8.333333333333334,5.0,2.0,0.6666666666666666,4.0,2.3333333333333335,1.0,6.0,0.0,14.333333333333334,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,4.333333333333333,0.0,2.3333333333333335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.666666666666666,1438.3333333333333,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1472.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,3.0,0.5,3.5,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,743.0
2,1.0,0.5,0.0,0.0,0.0,0.0,2.75,1.0,1.5,1.0,1.5,0.0,0.0,3.0,3.25,5.0,2.75,0.5,0.0,0.0,3.25,0.0,1.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1092.75,0.0,0.5,0.0,0.0,0.0,4.25,2.5,4.5,0.0,0.0,0.0,0.5,2.0,1.25,5.0,0.75,0.0,0.0,0.0,2.25,0.0,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1213.75,0.0,0.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,7.0,3.0,2.0,10.0,0.0,21.0,3.0,1.0,3.0,0.0,11.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2304.0,0.0,0.0,0.0,1.0,0.0,2.6666666666666665,0.3333333333333333,4.0,1.6666666666666667,3.0,2.6666666666666665,0.3333333333333333,3.0,2.0,8.333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5.0,0.0,1.3333333333333333,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,1414.6666666666667,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,1.6666666666666667,1.0,0.3333333333333333,2.0,1.0,0.3333333333333333,2.6666666666666665,1.0,5.333333333333333,1.0,0.0,1.6666666666666667,0.0,3.6666666666666665,0.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1079.6666666666667,1.0,0.5,0.0,0.0,0.0,0.0,2.75,1.0,1.5,1.0,1.5,0.0,0.0,3.0,3.25,5.0,2.75,0.5,0.0,0.0,3.25,0.0,1.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1092.75,0.0,0.5,0.0,0.0,0.0,4.25,2.5,4.5,0.0,0.0,0.0,0.5,2.0,1.25,5.0,0.75,0.0,0.0,0.0,2.25,0.0,1.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1213.75,0.0,0.0,1.0,0.0,0.0,9.0,9.0,0.0,0.0,7.0,3.0,2.0,10.0,0.0,21.0,3.0,1.0,3.0,0.0,11.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2304.0,0.0,0.0,0.0,1.0,0.0,2.6666666666666665,0.3333333333333333,4.0,1.6666666666666667,3.0,2.6666666666666665,0.3333333333333333,3.0,2.0,8.333333333333334,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,5.0,0.0,1.3333333333333333,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,1414.6666666666667,0.0,0.0,0.0,0.0,1.0,2.6666666666666665,1.6666666666666667,1.0,0.3333333333333333,2.0,1.0,0.3333333333333333,2.6666666666666665,1.0,5.333333333333333,1.0,0.0,1.6666666666666667,0.0,3.6666666666666665,0.0,1.6666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1079.6666666666667
3,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.5,1.5,1.0,2.0,1.5,0.0,0.5,0.0,5.5,0.0,0.0,0.0,0.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,629.0,0.0,1.0,0.0,0.0,0.0,2.6666666666666665,2.0,3.3333333333333335,0.6666666666666666,3.0,2.3333333333333335,0.0,2.3333333333333335,2.6666666666666665,8.333333333333334,2.0,1.0,0.0,0.0,2.6666666666666665,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1197.3333333333333,0.0,0.0,1.0,0.0,0.0,11.0,5.0,3.0,1.0,10.0,9.0,3.0,6.0,8.0,22.0,1.0,1.0,4.0,1.0,9.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1915.0,0.0,0.0,0.0,1.0,0.0,5.0,2.5,8.0,3.5,1.0,1.0,0.5,3.5,2.0,16.5,1.5,1.5,0.0,0.0,2.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1588.0,0.0,0.0,0.0,0.0,1.0,3.75,1.75,0.5,0.0,1.5,0.5,0.75,3.75,1.5,4.0,1.5,0.25,0.25,0.75,3.25,0.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,1114.75,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.5,1.5,1.0,2.0,1.5,0.0,0.5,0.0,5.5,0.0,0.0,0.0,0.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,629.0,0.0,1.0,0.0,0.0,0.0,2.6666666666666665,2.0,3.3333333333333335,0.6666666666666666,3.0,2.3333333333333335,0.0,2.3333333333333335,2.6666666666666665,8.333333333333334,2.0,1.0,0.0,0.0,2.6666666666666665,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1197.3333333333333,0.0,0.0,1.0,0.0,0.0,11.0,5.0,3.0,1.0,10.0,9.0,3.0,6.0,8.0,22.0,1.0,1.0,4.0,1.0,9.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1915.0,0.0,0.0,0.0,1.0,0.0,5.0,2.5,8.0,3.5,1.0,1.0,0.5,3.5,2.0,16.5,1.5,1.5,0.0,0.0,2.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1588.0,0.0,0.0,0.0,0.0,1.0,3.75,1.75,0.5,0.0,1.5,0.5,0.75,3.75,1.5,4.0,1.5,0.25,0.25,0.75,3.25,0.0,2.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.75,1114.75
4,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.6666666666666665,0.6666666666666666,2.6666666666666665,2.6666666666666665,0.0,1.6666666666666667,4.666666666666667,6.666666666666667,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,3.3333333333333335,0.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,1154.3333333333333,0.0,1.0,0.0,0.0,0.0,9.0,5.666666666666667,4.333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,1.3333333333333333,16.666666666666668,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1227.0,0.0,0.0,1.0,0.0,0.0,6.666666666666667,3.6666666666666665,0.0,0.0,0.6666666666666666,0.0,2.3333333333333335,4.333333333333333,0.3333333333333333,7.333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,10.0,960.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,1.0,0.0,2.5,1.0,0.0,1.5,0.0,4.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,748.5,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.5,4.0,0.5,4.5,1.0,1.0,2.0,0.0,3.5,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1440.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.6666666666666665,0.6666666666666666,2.6666666666666665,2.6666666666666665,0.0,1.6666666666666667,4.666666666666667,6.666666666666667,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,3.3333333333333335,0.0,1.3333333333333333,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,14.333333333333334,1154.3333333333333,0.0,1.0,0.0,0.0,0.0,9.0,5.666666666666667,4.333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,1.3333333333333333,16.666666666666668,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1227.0,0.0,0.0,1.0,0.0,0.0,6.666666666666667,3.6666666666666665,0.0,0.0,0.6666666666666666,0.0,2.3333333333333335,4.333333333333333,0.3333333333333333,7.333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,10.0,960.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,1.0,0.0,2.5,1.0,0.0,1.5,0.0,4.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,748.5,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.5,4.0,0.5,4.5,1.0,1.0,2.0,0.0,3.5,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1440.0
5,1.0,1.0,0.0,0.0,0.0,0.0,6.5,4.0,3.0,1.5,2.0,1.5,0.5,1.0,2.5,14.0,1.0,0.5,0.0,1.0,3.5,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1382.0,0.0,1.0,0.0,0.0,0.0,9.5,4.5,2.5,1.0,1.0,1.0,1.0,4.5,2.0,13.0,2.5,1.5,0.0,1.0,3.5,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1830.5,0.0,0.0,1.0,0.0,0.0,6.0,3.5,3.0,0.0,1.5,1.5,1.0,3.0,4.0,8.5,0.5,1.0,0.5,0.0,2.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1053.5,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0,1.0,4.0,1.75,2.75,1.0,2.5,1.5,1.5,2.25,1.0,8.0,0.75,1.75,0.0,0.25,4.25,0.0,2.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1348.5,1.0,1.0,0.0,0.0,0.0,0.0,6.5,4.0,3.0,1.5,2.0,1.5,0.5,1.0,2.5,14.0,1.0,0.5,0.0,1.0,3.5,0.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1382.0,0.0,1.0,0.0,0.0,0.0,9.5,4.5,2.5,1.0,1.0,1.0,1.0,4.5,2.0,13.0,2.5,1.5,0.0,1.0,3.5,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,5.5,1830.5,0.0,0.0,1.0,0.0,0.0,6.0,3.5,3.0,0.0,1.5,1.5,1.0,3.0,4.0,8.5,0.5,1.0,0.5,0.0,2.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1053.5,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,0.0,0.0,0.0,0.0,1.0,4.0,1.75,2.75,1.0,2.5,1.5,1.5,2.25,1.0,8.0,0.75,1.75,0.0,0.25,4.25,0.0,2.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,2.25,1348.5
6,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.5,5.5,2.5,1.0,1.0,1.0,2.0,4.5,11.5,1.0,2.0,0.5,0.5,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1311.5,0.0,1.0,0.0,0.0,0.0,5.5,2.0,2.75,1.0,0.0,0.0,0.25,2.75,4.0,7.0,1.0,0.5,0.25,0.5,2.0,0.0,1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-15.5,1330.25,0.0,0.0,1.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,16.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1648.0,0.0,0.0,0.0,0.5,0.0,1.25,0.5,1.5,0.5,1.0,0.5,0.0,0.5,0.75,3.0,0.5,0.5,0.0,0.0,2.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.75,611.75,0.0,0.0,0.0,0.0,0.75,5.375,2.75,0.0,0.0,2.5,1.25,1.0,1.5,0.375,6.75,0.75,0.25,0.75,0.5,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-6.375,896.375,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.5,5.5,2.5,1.0,1.0,1.0,2.0,4.5,11.5,1.0,2.0,0.5,0.5,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1311.5,0.0,1.0,0.0,0.0,0.0,5.5,2.0,2.75,1.0,0.0,0.0,0.25,2.75,4.0,7.0,1.0,0.5,0.25,0.5,2.0,0.0,1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-15.5,1330.25,0.0,0.0,1.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,1.0,7.0,1.0,16.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1648.0,0.0,0.0,0.0,0.5,0.0,1.25,0.5,1.5,0.5,1.0,0.5,0.0,0.5,0.75,3.0,0.5,0.5,0.0,0.0,2.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.75,611.75,0.0,0.0,0.0,0.0,0.75,5.375,2.75,0.0,0.0,2.5,1.25,1.0,1.5,0.375,6.75,0.75,0.25,0.75,0.5,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-6.375,896.375
