,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311
0,1.0,1.0,0.0,0.0,0.0,0.0,6.5,4.5,3.0,1.5,2.5,2.5,0.5,2.5,5.0,16.0,3.5,0.0,0.0,0.5,5.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1381.5,0.0,1.0,0.0,0.0,0.0,3.6666666666666665,2.0,4.333333333333333,1.6666666666666667,3.0,2.0,0.6666666666666666,2.0,1.6666666666666667,11.0,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1228.0,0.0,0.0,1.0,0.0,0.0,5.5,4.0,1.0,0.0,2.0,0.5,2.5,7.5,2.0,8.5,2.5,0.0,2.0,0.0,4.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1469.5,0.0,0.0,0.0,1.0,0.0,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,879.6666666666666,0.0,0.0,0.0,0.0,1.0,4.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.6666666666666667,0.3333333333333333,2.0,0.6666666666666666,7.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,791.6666666666666,1.0,1.0,0.0,0.0,0.0,0.0,6.5,4.5,3.0,1.5,2.5,2.5,0.5,2.5,5.0,16.0,3.5,0.0,0.0,0.5,5.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1381.5,0.0,1.0,0.0,0.0,0.0,3.6666666666666665,2.0,4.333333333333333,1.6666666666666667,3.0,2.0,0.6666666666666666,2.0,1.6666666666666667,11.0,0.6666666666666666,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1228.0,0.0,0.0,1.0,0.0,0.0,5.5,4.0,1.0,0.0,2.0,0.5,2.5,7.5,2.0,8.5,2.5,0.0,2.0,0.0,4.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,1469.5,0.0,0.0,0.0,1.0,0.0,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,0.6666666666666666,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.3333333333333333,0.0,0.0,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,879.6666666666666,0.0,0.0,0.0,0.0,1.0,4.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,1.6666666666666667,0.3333333333333333,2.0,0.6666666666666666,7.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,791.6666666666666
1,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,3.0,4.0,1.3333333333333333,2.0,0.0,0.0,1.6666666666666667,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,960.0,0.0,0.75,0.0,0.0,0.0,8.25,2.75,3.0,1.75,3.5,2.5,1.25,1.25,0.75,13.25,1.25,0.25,0.0,0.5,2.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,1208.0,0.0,0.0,1.0,0.0,0.0,4.666666666666667,2.6666666666666665,1.3333333333333333,0.3333333333333333,2.0,2.0,2.0,2.0,1.6666666666666667,8.333333333333334,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,1109.0,0.0,0.0,0.0,1.0,0.0,5.0,1.5,3.5,1.0,0.5,0.0,1.5,3.0,0.0,6.0,1.0,0.5,0.5,1.0,3.5,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1101.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,0.0,0.0,2.0,1.0,0.0,1.0,1.5,4.0,0.5,0.5,0.5,0.0,3.5,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,579.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,3.0,4.0,1.3333333333333333,2.0,0.0,0.0,1.6666666666666667,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,960.0,0.0,0.75,0.0,0.0,0.0,8.25,2.75,3.0,1.75,3.5,2.5,1.25,1.25,0.75,13.25,1.25,0.25,0.0,0.5,2.5,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.75,1208.0,0.0,0.0,1.0,0.0,0.0,4.666666666666667,2.6666666666666665,1.3333333333333333,0.3333333333333333,2.0,2.0,2.0,2.0,1.6666666666666667,8.333333333333334,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,2.6666666666666665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6666666666666665,1109.0,0.0,0.0,0.0,1.0,0.0,5.0,1.5,3.5,1.0,0.5,0.0,1.5,3.0,0.0,6.0,1.0,0.5,0.5,1.0,3.5,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1101.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,0.0,0.0,2.0,1.0,0.0,1.0,1.5,4.0,0.5,0.5,0.5,0.0,3.5,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,579.5
2,1.0,1.0,0.0,0.0,0.0,0.0,5.333333333333333,3.3333333333333335,3.0,1.3333333333333333,4.0,3.3333333333333335,0.0,1.6666666666666667,4.0,14.0,3.3333333333333335,0.0,0.0,0.0,6.666666666666667,0.0,2.3333333333333335,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,1516.6666666666667,0.0,1.0,0.0,0.0,0.0,3.5,1.5,3.0,1.0,2.0,1.5,0.5,1.0,1.5,7.5,1.5,0.5,0.0,0.5,2.5,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,908.5,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.5,0.5,2.5,2.0,1.0,5.0,2.5,11.5,3.0,1.0,0.5,1.0,8.5,0.0,4.5,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1714.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,1.25,0.75,2.25,2.0,0.25,1.75,0.75,5.25,0.75,0.75,0.5,0.25,2.0,0.0,0.25,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5,719.5,0.0,0.0,0.0,0.0,1.0,1.5,1.0,0.5,0.0,2.0,1.0,1.0,4.5,0.5,3.0,0.0,0.0,0.5,0.5,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,863.5,1.0,1.0,0.0,0.0,0.0,0.0,5.333333333333333,3.3333333333333335,3.0,1.3333333333333333,4.0,3.3333333333333335,0.0,1.6666666666666667,4.0,14.0,3.3333333333333335,0.0,0.0,0.0,6.666666666666667,0.0,2.3333333333333335,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3333333333333333,1516.6666666666667,0.0,1.0,0.0,0.0,0.0,3.5,1.5,3.0,1.0,2.0,1.5,0.5,1.0,1.5,7.5,1.5,0.5,0.0,0.5,2.5,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,908.5,0.0,0.0,1.0,0.0,0.0,7.0,4.0,1.5,0.5,2.5,2.0,1.0,5.0,2.5,11.5,3.0,1.0,0.5,1.0,8.5,0.0,4.5,3.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,1714.0,0.0,0.0,0.0,1.0,0.0,1.5,0.5,1.25,0.75,2.25,2.0,0.25,1.75,0.75,5.25,0.75,0.75,0.5,0.25,2.0,0.0,0.25,1.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5,719.5,0.0,0.0,0.0,0.0,1.0,1.5,1.0,0.5,0.0,2.0,1.0,1.0,4.5,0.5,3.0,0.0,0.0,0.5,0.5,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,863.5
3,1.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,2.0,12.0,11.0,0.0,4.0,4.0,31.0,2.0,0.0,0.0,0.0,11.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,1865.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,4.333333333333333,3.6666666666666665,1.0,3.0,3.0,0.0,2.0,3.0,14.666666666666666,2.3333333333333335,1.0,0.0,0.6666666666666666,4.666666666666667,0.0,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1298.3333333333333,0.0,0.0,1.0,0.0,0.0,2.5,0.5,0.0,0.0,1.0,1.0,2.0,2.5,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,496.5,0.0,0.0,0.0,1.0,0.0,8.0,4.5,0.5,0.0,4.0,2.5,4.0,2.0,2.0,11.5,1.0,3.0,0.0,0.0,6.5,0.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1849.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.3333333333333333,6.333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.666666666666667,0.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.3333333333333,1.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,2.0,12.0,11.0,0.0,4.0,4.0,31.0,2.0,0.0,0.0,0.0,11.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,1865.0,0.0,1.0,0.0,0.0,0.0,7.333333333333333,4.333333333333333,3.6666666666666665,1.0,3.0,3.0,0.0,2.0,3.0,14.666666666666666,2.3333333333333335,1.0,0.0,0.6666666666666666,4.666666666666667,0.0,2.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1298.3333333333333,0.0,0.0,1.0,0.0,0.0,2.5,0.5,0.0,0.0,1.0,1.0,2.0,2.5,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,496.5,0.0,0.0,0.0,1.0,0.0,8.0,4.5,0.5,0.0,4.0,2.5,4.0,2.0,2.0,11.5,1.0,3.0,0.0,0.0,6.5,0.0,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1849.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.3333333333333335,0.3333333333333333,6.333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,4.666666666666667,0.0,3.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.3333333333333
4,1.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,4.0,2.0,1.0,1.0,3.0,4.0,23.0,1.0,3.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1881.0,0.0,1.0,0.0,0.0,0.0,7.5,4.0,5.0,1.5,1.0,1.0,1.0,4.0,7.5,13.5,2.5,1.0,0.0,0.0,4.5,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2173.5,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,3.5,1.0,1.0,1.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,883.0,0.0,0.0,0.0,0.5,0.0,5.625,3.375,1.125,0.625,2.75,2.5,0.5,1.625,0.625,11.125,0.25,0.25,0.25,0.25,3.875,0.0,1.375,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1052.75,0.0,0.0,0.0,0.0,0.3333333333333333,3.1666666666666665,1.8333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,1.5,0.16666666666666666,4.166666666666667,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,732.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,7.0,4.0,2.0,1.0,1.0,3.0,4.0,23.0,1.0,3.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1881.0,0.0,1.0,0.0,0.0,0.0,7.5,4.0,5.0,1.5,1.0,1.0,1.0,4.0,7.5,13.5,2.5,1.0,0.0,0.0,4.5,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2173.5,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,1.0,3.5,1.0,1.0,1.5,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,883.0,0.0,0.0,0.0,0.5,0.0,5.625,3.375,1.125,0.625,2.75,2.5,0.5,1.625,0.625,11.125,0.25,0.25,0.25,0.25,3.875,0.0,1.375,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.125,1052.75,0.0,0.0,0.0,0.0,0.3333333333333333,3.1666666666666665,1.8333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.3333333333333333,1.5,0.16666666666666666,4.166666666666667,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,732.0
5,1.0,1.0,0.0,0.0,0.0,0.0,5.5,1.5,3.0,0.5,0.0,0.0,0.5,3.0,6.5,4.5,1.5,0.0,0.5,1.0,4.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1445.5,0.0,1.0,0.0,0.0,0.0,8.5,5.0,4.5,1.0,1.0,0.5,0.0,1.0,3.0,13.5,0.5,0.0,0.0,1.0,3.5,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1634.5,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,2.0,1.5,2.0,2.5,0.0,2.5,0.5,0.0,0.5,0.0,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,773.0,0.0,0.0,0.0,1.0,0.0,2.5,1.0,2.0,1.0,1.5,1.0,0.0,4.5,1.0,6.0,0.5,0.0,0.5,0.5,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1470.5,0.0,0.0,0.0,0.0,1.0,13.0,8.5,1.0,0.0,4.5,3.5,1.0,5.5,1.0,20.5,2.0,2.5,3.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1876.5,1.0,1.0,0.0,0.0,0.0,0.0,5.5,1.5,3.0,0.5,0.0,0.0,0.5,3.0,6.5,4.5,1.5,0.0,0.5,1.0,4.0,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,1445.5,0.0,1.0,0.0,0.0,0.0,8.5,5.0,4.5,1.0,1.0,0.5,0.0,1.0,3.0,13.5,0.5,0.0,0.0,1.0,3.5,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1634.5,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,2.0,1.5,2.0,2.5,0.0,2.5,0.5,0.0,0.5,0.0,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,773.0,0.0,0.0,0.0,1.0,0.0,2.5,1.0,2.0,1.0,1.5,1.0,0.0,4.5,1.0,6.0,0.5,0.0,0.5,0.5,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,1470.5,0.0,0.0,0.0,0.0,1.0,13.0,8.5,1.0,0.0,4.5,3.5,1.0,5.5,1.0,20.5,2.0,2.5,3.0,0.0,8.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,1876.5
